% V3 planform
-4094.453 -1352.396
-4103.430 -977.876
-4094.373 -643.309
-4081.330 -395.16
-4054.896 -122.231
-3986.108 127.162
-3877.575 207.699
-3611.501 270.773
-3162.465 349.092
-2597.994 431.548
-1990.102 487.412
-1335.868 533.866
-680.143 555.558
0.000 560.898
680.143 555.558
1335.868 533.866
1990.102 487.412
2597.994 431.548
3162.465 349.092
3611.501 270.773
3877.575 207.699
3986.108 127.162
4054.896 -122.231
4081.330 -395.166
4094.373 -643.309
4103.430 -977.876
4094.453 -1352.396

4094.453 -1352.396
3922.513 -1506.032
3575.947 -1648.984
3403.923 -1705.235
3090.893 -1811.100
2706.987 -1808.210
2387.174 -1842.502
1941.152 -1916.349
1461.973 -1906.706
1170.222 -1911.121
664.091 -1952.959
231.064 -1929.716
0.000 -1930.330
-231.064 -1929.716
-664.091 -1952.959
-1170.222 -1911.121
-1461.973 -1906.706
-1941.152 -1916.349
-2387.174 -1842.502
-2706.987 -1808.210
-3090.893 -1811.100
-3403.923 -1705.235
-3575.947 -1648.984
-3922.513 -1506.032
-4094.453 -1352.396
-4054.896 -122.231
