% V3 planform
-4103.430 -977.876
-4094.453 -1352.396
-4103.430 -977.876
-4094.373 -643.309
-4081.330 -395.166
-4054.896 -122.231
-4014.368 24.705
-3986.108 127.162
-3877.575 207.699
-3147.845 344.075
-3197.774 -9.043
-3088.377 -1816.459
-3197.774 -9.043
-3147.845 344.075
-2597.994 431.548
-1950.720 476.204
-2012.707 177.873
-1928.277 -1925.631
-2012.707 177.873
-1950.720 476.204
-1335.768 533.866
-672.756 550.400
-663.464 -1955.504
-672.756 550.400
0.000 560.898
0.000 560.898
672.756 550.400
663.464 -1955.504
672.756 550.400
1335.768 533.866
1950.720 476.204
2012.707 177.873
1928.277 -1925.631
2012.707 177.873
1950.720 476.204
2597.994 431.548
3147.845 344.075
3197.774 -9.043
3088.377 -1816.459
3197.774 -9.043
3147.845 344.075
3611.501 270.773
3877.575 207.699
3986.108 127.162
4014.368 24.705
3922.566 -1507.717
4011.930 -11.321
4054.896 -122.231
4081.330 -395.166
4094.373 -643.309
4103.430 -977.876
4094.453 -1352.396
4103.430 -977.876
